Strategy,Asset,Timeframe,Net_Profit_USD,ROI_Percent,ROI,ROI_Annual_Percent,ROI_Per_Day_Pct,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Max_Drawdown_USD,Max_Drawdown_Percent,Gross_Drawdown_USD,Gross_Drawdown_Percent,Net_Drawdown_USD,Net_Drawdown_Percent,Current_Drawdown_USD,Current_Drawdown_Percent,Performance_Grade,Deployment_Status,Rank,Initial_Capital_USD,Final_Capital_USD,Time_period_checked,Time_start,time_end,fees_exchnage,Total_Trades,Data_Source
6 BB Squeeze V2 BINANCEUSDT 2026-04-03,LDO,4h,58489.55,584.9,5.849,65.68,0.1799,86.67,16.77,2.4,-873.56,-8.42,-3709.88,-5.42,-500.7,-5.01,0,0,PROMISING,TIER_2,96,10000,68489.55,1392_days,30-05-2022,22-03-2026,0.06%,135,tv_backtester_jan_2024
Williams %R BINANCEUSDT.P 2026-04-03,DOT,4h,143679.8,1436.8,14.368,63.53,0.1741,77.6,8.64,2.36,-5321.69,-3.35,-18805.16,-11.83,-89.5,-0.9,-5321.69,-3.35,PROMISING,TIER_2,63,10000,153679.8,2029_days,10-09-2020,01-04-2026,0.06%,317,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,LINK,4h,192657,1926.57,19.2657,63.37,0.1736,83.73,8.4,2.97,-3866.95,-3.19,-26032.55,-12.85,0,0,0,0,PROMISING,TIER_2,55,10000,202657,2239_days,13-02-2020,01-04-2026,0.06%,295,tv_backtester_jan_2024
6 BB Squeeze V2 BINANCEUSDT 2026-04-03,SUI,4h,30402.24,304.02,3.0402,63.06,0.1728,81.44,13.46,2.7,-625.71,-3.19,-2439.11,-6.04,0,0,0,0,PROMISING,TIER_2,119,10000,40402.24,1043_days,24-05-2023,01-04-2026,0.06%,97,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,SUI,4h,30009.91,300.1,3.001,62.43,0.171,83.87,7.41,2.95,-932.29,-2.4,-4681.09,-11.7,0,0,0,0,PROMISING,TIER_2,120,10000,40009.91,1044_days,22-05-2023,01-04-2026,0.06%,124,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT 2026-04-03,LDO,4h,53185.59,531.86,5.3186,62.21,0.1704,78.53,6.63,2.71,-999.2,-1.6,-9438.92,-14.94,-63.56,-0.64,0,0,PROMISING,TIER_2,101,10000,63185.59,1392_days,02-06-2022,25-03-2026,0.06%,177,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT 2026-04-03,ETH,4h,600484.68,6004.85,60.0485,61.65,0.1689,80.09,11.38,2.19,-8871.79,-1.61,-57835.62,-9.47,0,0,0,0,PROMISING,TIER_2,34,10000,610484.68,3127_days,08-09-2017,02-04-2026,0.06%,457,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,ETH,4h,192789.12,1927.89,19.2789,61.48,0.1684,81.36,11.12,2.43,-2933.19,-1.61,-19050.3,-9.39,0,0,0,0,PROMISING,TIER_2,54,10000,202789.12,2294_days,21-12-2019,02-04-2026,0.06%,354,tv_backtester_jan_2024
BB Squeeze V2 TimeFilter BINANCEUSDT 2026-04-03,LDO,4h,51361.2,513.61,5.1361,61.19,0.1676,86.57,13.03,2.68,-800.45,-3.17,-4269.47,-6.96,0,0,0,0,PROMISING,TIER_2,102,10000,61361.2,1388_days,30-05-2022,18-03-2026,0.06%,134,tv_backtester_jan_2024
39 Chandelier Exit BINANCEUSDT.P 2026-04-03,DOT,4h,117059.26,1170.59,11.7059,58.61,0.1606,81.22,9.9,2.81,-5269.14,-3.98,-13150.32,-9.94,0,0,-5269.14,-3.98,PROMISING,TIER_2,67,10000,127059.26,2013_days,12-09-2020,19-03-2026,0.06%,229,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,SUI,4h,27351.72,273.52,2.7352,58.5,0.1603,83.81,8.19,2.83,-1064.09,-3.22,-3805.6,-10.19,0,0,0,0,PROMISING,TIER_2,124,10000,37351.72,1045_days,22-05-2023,01-04-2026,0.06%,105,tv_backtester_jan_2024
Momentum V2 BINANCEUSDT.P 2026-04-03,XRP,4h,131977.23,1319.77,13.1977,54.04,0.148,70.75,11.93,2.74,-1573.33,-1.62,-12070.08,-8.5,-466.19,-4.66,0,0,PROMISING,TIER_2,66,10000,141977.23,2243_days,09-02-2020,01-04-2026,0.06%,335,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,DOT,4h,99075.95,990.76,9.9076,53.84,0.1475,79.85,8.75,2.84,-4339.36,-3.83,-12785.28,-11.27,0,0,-4339.36,-3.83,PROMISING,TIER_2,72,10000,109075.95,2026_days,14-09-2020,02-04-2026,0.06%,268,tv_backtester_jan_2024
Engulfing V2 BINANCEUSDT.P 2026-04-03,AVAX,4h,88838.93,888.39,8.8839,53.62,0.1469,86.88,20.42,2.62,-909.62,-1.6,-4575.49,-4.63,0,0,0,0,PROMISING,TIER_2,78,10000,98838.93,1949_days,12-10-2020,12-02-2026,0.06%,160,tv_backtester_jan_2024
Aroon Trend BINANCEUSDT 2026-04-03,BTC,4h,373758.17,3737.58,37.3758,53.06,0.1454,81.53,11.25,3.01,-5891.49,-1.65,-36465.23,-9.5,0,0,0,0,PROMISING,TIER_2,40,10000,383758.17,3130_days,06-09-2017,02-04-2026,0.06%,536,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03,SOL,4h,92449.75,924.5,9.245,53.05,0.1453,70.74,8.71,2.89,-3542.67,-10.63,-11995.57,-11.71,-671.47,-6.71,0,0,PROMISING,TIER_2,74,10000,102449.75,1997_days,03-10-2020,23-03-2026,0.06%,270,tv_backtester_jan_2024
Breakout Retest BINANCEUSDT.P 2026-04-03 (1),SOL,4h,92449.75,924.5,9.245,53.05,0.1453,70.74,8.71,2.89,-3542.67,-10.63,-11995.57,-11.71,-671.47,-6.71,0,0,PROMISING,TIER_2,75,10000,102449.75,1997_days,03-10-2020,23-03-2026,0.06%,270,tv_backtester_jan_2024
