Rank,Strategy,Asset,Timeframe,Initial_Capital_USD,Final_Capital_USD,Net_Profit_USD,roi,ROI/annum,ROI_per_annum_Percent,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Profit_Factor,Sharpe_Ratio,Avg_Trade_Percent,Max_Drawdown,Performance_Grade,Deployment_Status,Data_Source,Time_period_checked,Time_start,time_end,fees_exchnage,Parameters,Candle_Period
287,Multi_Indicator,BTCUSDT,4h,10000,8769.42,-1230.58,-12.31,-1230.58,-1230.58,66,13,53,19.7,0.91,4.93,-0.08,32.77,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
288,Volume_All_Confirm,BTCUSDT,1h,10000,8759.53,-1240.47,-12.4,-1240.47,-1240.47,32,5,27,15.62,0.82,5.51,-0.28,25.19,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
289,ADX_BB_MACD,BTCUSDT,15m,10000,8757.55,-1242.45,-12.42,-1242.45,-1242.45,68,10,58,14.71,0.89,5.02,-0.07,41.66,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.012, TP:0.08, TS:0.012",15m
290,EMA_Cloud_Strength,BTCUSDT,15m,10000,8748.6,-1251.4,-12.51,-1251.4,-1251.4,38,6,32,15.79,0.85,6.24,-0.17,42.32,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
291,Trend_Follower_Pro,BTCUSDT,15m,10000,8748.6,-1251.4,-12.51,-1251.4,-1251.4,38,6,32,15.79,0.85,6.24,-0.17,42.32,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",15m
292,Aggressive_Growth,BTCUSDT,1h,10000,8746.96,-1253.04,-12.53,-1253.04,-1253.04,32,5,27,15.62,0.82,5.51,-0.28,25.19,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",1h
293,Stochastic_Trend_MACD,BTCUSDT,4h,10000,8746.51,-1253.49,-12.53,-1253.49,-1253.49,44,7,37,15.91,0.84,4.52,-0.21,28.74,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
294,Breakout_Momentum,BTCUSDT,4h,10000,8739.73,-1260.27,-12.6,-1260.27,-1260.27,35,6,29,17.14,0.83,5.89,-0.23,26.31,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.02, TP:0.12, TS:0.02",4h
295,EMA_BB_ADX,BTCUSDT,4h,10000,8738.25,-1261.75,-12.62,-1261.75,-1261.75,81,15,66,18.52,0.91,4.72,-0.05,40.38,C,Inactive,Historical_Parquet,364 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.015, TP:0.09, TS:0.015",4h
296,Dual_Confirmation,BTCUSDT,15m,10000,8732.14,-1267.86,-12.68,-1267.86,-1267.86,83,12,71,14.46,0.89,4.26,-0.07,42.75,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
297,Supertrend_Cluster,BTCUSDT,15m,10000,8732.14,-1267.86,-12.68,-1267.86,-1267.86,83,12,71,14.46,0.89,4.26,-0.07,42.75,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
298,Supertrend_Reversal_Pro,BTCUSDT,15m,10000,8732.14,-1267.86,-12.68,-1267.86,-1267.86,83,12,71,14.46,0.89,4.26,-0.07,42.75,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
299,RSI_MACD_Combo,BTCUSDT,15m,10000,8732.14,-1267.86,-12.68,-1267.86,-1267.86,83,12,71,14.46,0.89,4.26,-0.07,42.75,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
300,MACD_Supertrend_Combo,BTCUSDT,15m,10000,8732.14,-1267.86,-12.68,-1267.86,-1267.86,83,12,71,14.46,0.89,4.26,-0.07,42.75,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
301,MACD_Zero_Cross,BTCUSDT,15m,10000,8732.14,-1267.86,-12.68,-1267.86,-1267.86,83,12,71,14.46,0.89,4.26,-0.07,42.75,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
302,Supertrend_RSI,BTCUSDT,15m,10000,8732.14,-1267.86,-12.68,-1267.86,-1267.86,83,12,71,14.46,0.89,4.26,-0.07,42.75,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
303,MACD_Histogram_Pro,BTCUSDT,15m,10000,8732.14,-1267.86,-12.68,-1267.86,-1267.86,83,12,71,14.46,0.89,4.26,-0.07,42.75,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
304,Supertrend_Pro,BTCUSDT,15m,10000,8732.14,-1267.86,-12.68,-1267.86,-1267.86,83,12,71,14.46,0.89,4.26,-0.07,42.75,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
305,Supertrend_Momentum,BTCUSDT,15m,10000,8732.14,-1267.86,-12.68,-1267.86,-1267.86,83,12,71,14.46,0.89,4.26,-0.07,42.75,C,Inactive,Historical_Parquet,365 days,2025-03-16,2026-03-16,Entry:0.01% + Exit:0.01%,"SL:0.01, TP:0.07, TS:0.01",15m
