Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
257,Entry long,2023-11-29 07:00,Long,38194,0.002518,96.172492,0.34,0.36,0.39,0.41,-0.35,-0.36,-37.22,-3.72
258,Exit long,2023-12-02 19:15,Exit Long,39276,0.00244,96.22384,-0.49,-0.51,0.01,0.01,-0.44,-0.46,-37.71,-3.77
258,Entry long,2023-12-02 19:15,Long,39436,0.00244,96.22384,-0.49,-0.51,0.01,0.01,-0.44,-0.46,-37.71,-3.77
259,Exit short,2023-12-03 04:15,Exit Short,39442,0.002446,96.171828,-0.4,-0.42,0,0.00,-0.35,-0.37,-38.11,-3.81
259,Entry short,2023-12-03 03:15,Short,39318,0.002446,96.171828,-0.4,-0.42,0,0.00,-0.35,-0.37,-38.11,-3.81
260,Exit long,2023-12-06 11:00,Exit Long,43824,0.002182,96.047276,-0.52,-0.54,0.53,0.55,-0.47,-0.49,-38.63,-3.86
260,Entry long,2023-12-06 10:15,Long,44018,0.002182,96.047276,-0.52,-0.54,0.53,0.55,-0.47,-0.49,-38.63,-3.86
261,Exit short,2023-12-07 00:30,Exit Short,43877,0.0022,96.0762,-0.55,-0.57,0,0.00,-0.5,-0.52,-39.18,-3.92
261,Entry short,2023-12-06 23:15,Short,43671,0.0022,96.0762,-0.55,-0.57,0,0.00,-0.5,-0.52,-39.18,-3.92
262,Exit long,2023-12-07 15:30,Exit Long,43855,0.002204,96.010648,0.55,0.57,0.6,0.62,-0.09,-0.10,-38.63,-3.86
262,Entry long,2023-12-07 15:15,Long,43562,0.002204,96.010648,0.55,0.57,0.6,0.62,-0.09,-0.10,-38.63,-3.86
263,Exit long,2023-12-09 14:30,Exit Long,43905,0.002182,96.060368,-0.36,-0.37,0.21,0.22,-0.31,-0.32,-38.98,-3.90
263,Entry long,2023-12-09 14:00,Long,44024,0.002182,96.060368,-0.36,-0.37,0.21,0.22,-0.31,-0.32,-38.98,-3.90
264,Exit short,2023-12-09 23:30,Exit Short,43659,0.002192,96.02056,0.22,0.23,0.27,0.28,-0.07,-0.08,-38.76,-3.88
264,Entry short,2023-12-09 23:30,Short,43805,0.002192,96.02056,0.22,0.23,0.27,0.28,-0.07,-0.08,-38.76,-3.88
265,Exit short,2023-12-12 15:15,Exit Short,41186,0.002317,96.055869,0.53,0.55,0.58,0.60,-0.29,-0.31,-38.23,-3.82
265,Entry short,2023-12-12 15:00,Short,41457,0.002317,96.055869,0.53,0.55,0.58,0.60,-0.29,-0.31,-38.23,-3.82
266,Exit long,2023-12-13 11:30,Mean Exit,41126,0.002335,96.115605,-0.18,-0.19,0.15,0.15,-0.3,-0.31,-38.41,-3.84
266,Entry long,2023-12-13 07:30,Long,41163,0.002335,96.115605,-0.18,-0.19,0.15,0.15,-0.3,-0.31,-38.41,-3.84
267,Exit long,2023-12-13 15:00,Exit Long,41564,0.002324,96.104372,0.39,0.41,0.44,0.46,-0.17,-0.18,-38.01,-3.80
267,Entry long,2023-12-13 13:30,Long,41353,0.002324,96.104372,0.39,0.41,0.44,0.46,-0.17,-0.18,-38.01,-3.80
268,Exit long,2023-12-14 07:00,Exit Long,42874,0.002234,96.122318,-0.44,-0.46,0,0.00,-0.39,-0.41,-38.45,-3.85
268,Entry long,2023-12-14 06:30,Long,43027,0.002234,96.122318,-0.44,-0.46,0,0.00,-0.39,-0.41,-38.45,-3.85
269,Exit long,2023-12-16 12:30,Exit Long,42410,0.002272,96.101056,0.16,0.16,0.21,0.21,-0.18,-0.18,-38.29,-3.83
269,Entry long,2023-12-16 12:00,Long,42298,0.002272,96.101056,0.16,0.16,0.21,0.21,-0.18,-0.18,-38.29,-3.83
270,Exit short,2023-12-17 01:45,Exit Short,41970,0.002278,96.067816,0.36,0.38,0.41,0.43,-0.27,-0.28,-37.93,-3.79
270,Entry short,2023-12-16 23:15,Short,42172,0.002278,96.067816,0.36,0.38,0.41,0.43,-0.27,-0.28,-37.93,-3.79
271,Exit short,2023-12-17 15:45,Exit Short,41723,0.002312,96.163016,-0.4,-0.41,0.05,0.06,-0.35,-0.36,-38.33,-3.83
